PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
KISKA/CAPE ST STEPHEN,212,KISKA/CAPE ST STEPHEN,A,454A,3,,0,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.895,177.201,E,KISKA/CAPE ST STEPHEN/A,KISKA/CAPE ST STEPHEN,1,,STPH1,981,3,313,,2,COBBLE BEA,"S,SW",,,
KISKA/CAPE ST STEPHEN,212,KISKA/CAPE ST STEPHEN/B,B,454B,2,,0,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.875,177.212,E,KISKA/CAPE ST STEPHEN/B,KISKA/CAPE ST STEPHEN,1,,STPH1,981,2,313,,2,COBBLE BEA,"S,SW",,,
KISKA/CAPE ST STEPHEN,212,KISKA/CAPE ST STEPHEN/C,C,454C,1,FROM,1,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.892,177.200,E,KISKA/CAPE ST STEPHENC,KISKA/CAPE ST STEPHEN,1,,STPH1,981,4,313,,2,COBBLE BEA,"S,SW",,,
KISKA/CAPE ST STEPHEN,212,KISKA/CAPE ST STEPHEN/D,D,454D,4,TO,0,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.896,177.204,E,KISKA/CAPE ST STEPHEN/D,KISKA/CAPE ST STEPHEN,1,,STPH1,981,4,313,,,OFFSHORE R,W,BULL ROCK,,
KISKA/GERTRUDE-BUKHTI,213,KISKA/GERTRUDE-BUKHTI,A,452A,1,FROM,1,C ALEU,10,2,W,0,0,0,1,,,,,,,,51.907,177.475,E,KISKA/GERTRUDE-BUKHTI/A,KISKA/GERTRUDE-BUKHTI,,,GRTR1,981,2,311,2,,,,,,
KISKA/GERTRUDE-BUKHTI,213,KISKA/GERTRUDE-BUKHTIA/B,B,452B,2,TO,0,C ALEU,10,2,W,0,0,0,1,,,,,,,,51.918,177.442,E,KISKA/GERTRUDE-BUKHTIA/B,KISKA/GERTRUDE-BUKHTI,,,GRTR1,981,2,311,2,,,,,,
KISKA/LIEF COVE,214,KISKA/LIEF COVE,A,455A,1,FROM,1,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.953,177.340,E,KISKA/LIEF COVE/A,KISKA/LIEF COVE,1,,LIEF1,981,5,314,,2,COBBLE BEA,"W,NW",,,
KISKA/LIEF COVE,214,KISKA/LIEF COVE/B,B,455B,2,TO,0,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.954,177.342,E,KISKA/LIEF COVE/B,KISKA/LIEF COVE,1,,LIEF1,981,5,314,,2,COBBLE BEA,"W,NW",,,
KISKA/PILLAR ROCK,215,KISKA/PILLAR ROCK,A,459,,,1,C ALEU,10,2,W,0,0,1,1,,,,,,,,52.120,177.363,E,KISKA/PILLAR ROCK,,,,PILLR,981,9,318,,,,,,,
KISKA/SIRIUS POINT,216,KISKA/SIRIUS POINT,A,458,1,FROM,1,C ALEU,10,2,W,0,0,0,0,,,,1,,1,1,52.130,177.612,E,KISKA/SIRIUS POINT,,,1,SRIUS,981,8,317,2,,,,,,
